"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"04-Aug-2022","EQ","812.20","824.80","798.00","810.70","809.90","809.35","812.90","1,168.00","668.85","719,629","584,988,405.70","20,851"
"03-Aug-2022","EQ","812.50","818.35","802.95","812.45","808.95","810.70","810.14","1,168.00","668.85","810,850","656,903,978.80","21,396"
"02-Aug-2022","EQ","800.00","815.00","795.00","802.25","810.30","812.45","809.16","1,168.00","668.85","1,326,577","1,073,409,767.95","30,688"
"01-Aug-2022","EQ","785.00","808.95","779.20","780.10","801.55","802.25","796.08","1,168.00","668.85","1,792,021","1,426,592,452.00","42,242"
"29-Jul-2022","EQ","767.00","781.80","762.50","763.50","780.60","780.10","775.96","1,168.00","668.85","951,007","737,947,612.70","23,641"
"28-Jul-2022","EQ","760.75","768.75","755.45","756.55","762.55","763.50","763.45","1,168.00","668.85","672,118","513,128,274.15","17,978"
"27-Jul-2022","EQ","747.00","758.75","740.50","746.15","753.90","756.55","750.37","1,168.00","668.85","369,163","277,009,889.45","13,291"
"26-Jul-2022","EQ","769.50","772.95","743.65","769.50","745.85","746.15","757.64","1,168.00","668.85","555,013","420,501,598.10","20,708"
"25-Jul-2022","EQ","760.95","777.95","756.00","759.85","767.50","769.50","770.72","1,168.00","668.85","864,064","665,953,131.55","25,874"
"22-Jul-2022","EQ","781.20","781.40","757.00","777.50","758.50","759.85","767.38","1,168.00","668.85","982,823","754,195,299.90","34,797"
"21-Jul-2022","EQ","740.65","781.35","738.00","739.20","776.35","777.50","766.29","1,168.00","668.85","1,801,834","1,380,720,991.75","44,546"
"20-Jul-2022","EQ","745.00","750.95","737.00","735.55","738.60","739.20","743.72","1,168.00","668.85","556,847","414,137,943.85","15,961"
"19-Jul-2022","EQ","733.00","741.95","727.95","735.60","736.00","735.55","735.17","1,168.00","668.85","410,560","301,830,748.25","15,138"
"18-Jul-2022","EQ","732.10","738.40","729.55","728.40","735.00","735.60","734.39","1,168.00","668.85","293,470","215,520,750.05","10,081"
"15-Jul-2022","EQ","728.75","732.90","719.75","726.25","729.05","728.40","724.80","1,168.00","668.85","490,338","355,398,972.35","17,280"
"14-Jul-2022","EQ","738.10","744.00","716.55","734.40","725.50","726.25","730.87","1,168.00","668.85","400,938","293,035,187.10","16,280"
"13-Jul-2022","EQ","732.40","740.00","729.80","728.85","733.30","734.40","735.22","1,168.00","668.85","441,553","324,639,283.80","18,792"
"12-Jul-2022","EQ","743.95","747.90","726.60","744.20","727.70","728.85","736.93","1,168.00","668.85","904,935","666,873,826.65","28,304"
"11-Jul-2022","EQ","726.00","747.70","715.80","722.95","743.00","744.20","732.81","1,168.00","668.85","1,353,022","991,513,216.25","38,175"
"08-Jul-2022","EQ","708.00","725.00","708.00","704.75","725.00","722.95","717.38","1,168.00","668.85","696,745","499,833,340.60","25,225"
"07-Jul-2022","EQ","706.00","711.45","698.00","701.70","707.00","704.75","705.95","1,168.00","668.85","556,236","392,673,494.85","16,695"
