"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Aug-2021","EQ","135.05","140.70","135.05","136.15","138.05","138.05","137.89","148.10","65.10","890,175","122,742,917.10","11,697"
"02-Aug-2021","EQ","140.00","141.75","135.30","138.80","135.80","136.15","138.80","148.10","65.10","1,087,184","150,895,741.10","13,832"
"30-Jul-2021","EQ","133.95","144.70","133.45","133.45","138.55","138.80","141.35","148.10","65.10","3,246,862","458,945,884.20","27,046"
"29-Jul-2021","EQ","133.30","135.65","132.75","132.40","133.50","133.45","134.23","148.10","65.10","232,226","31,171,717.65","3,426"
"28-Jul-2021","EQ","135.60","135.80","130.00","135.00","132.50","132.40","132.40","148.10","65.10","219,974","29,124,323.85","3,285"
"27-Jul-2021","EQ","134.70","139.40","134.05","133.65","134.80","135.00","136.00","148.10","65.10","336,272","45,732,388.65","6,464"
"26-Jul-2021","EQ","132.80","136.80","132.15","133.25","133.85","133.65","134.59","148.10","65.10","514,350","69,227,227.15","12,493"
"23-Jul-2021","EQ","137.30","137.30","132.60","136.35","133.00","133.25","134.44","148.10","65.10","281,362","37,827,700.75","4,293"
"22-Jul-2021","EQ","134.70","138.65","134.65","133.90","135.75","136.35","136.85","148.10","65.10","347,058","47,495,418.85","5,369"
"20-Jul-2021","EQ","138.00","138.75","130.00","138.80","132.55","133.90","134.89","148.10","65.10","524,106","70,697,756.80","6,680"
"19-Jul-2021","EQ","141.00","143.80","137.15","143.10","139.20","138.80","140.23","148.10","65.10","579,371","81,244,757.85","8,513"
"16-Jul-2021","EQ","145.20","148.10","142.00","145.20","143.35","143.10","144.86","148.10","63.55","1,405,081","203,540,577.50","15,674"
"15-Jul-2021","EQ","135.90","147.35","134.50","135.60","145.40","145.20","142.94","147.35","63.55","4,259,567","608,870,548.30","36,125"
"14-Jul-2021","EQ","138.40","140.75","134.00","137.00","135.90","135.60","138.24","141.95","63.55","1,931,363","266,992,659.95","20,515"
"13-Jul-2021","EQ","128.60","138.00","127.20","126.30","137.35","137.00","135.11","141.95","63.55","3,599,304","486,311,610.80","30,329"
"12-Jul-2021","EQ","127.75","129.00","125.80","126.85","126.40","126.30","127.69","141.95","63.55","324,498","41,435,832.05","8,601"
"09-Jul-2021","EQ","126.00","127.35","125.30","125.50","127.00","126.85","126.46","141.95","63.55","247,234","31,266,127.80","4,090"
"08-Jul-2021","EQ","129.35","130.00","125.05","128.30","125.80","125.50","127.50","141.95","63.55","288,819","36,824,563.30","5,368"
"07-Jul-2021","EQ","127.50","130.90","127.30","126.80","128.35","128.30","129.06","141.95","63.55","554,339","71,544,433.00","15,478"
"06-Jul-2021","EQ","130.95","130.95","126.45","128.85","127.20","126.80","128.73","141.95","63.55","220,967","28,446,136.80","4,179"
"05-Jul-2021","EQ","131.70","131.70","127.65","125.80","129.05","128.85","129.33","141.95","63.55","429,592","55,557,849.20","8,526"
"02-Jul-2021","EQ","126.20","128.00","125.25","126.00","126.00","125.80","126.15","141.95","63.55","205,360","25,906,556.70","2,797"
"01-Jul-2021","EQ","128.00","129.10","125.40","128.20","125.45","126.00","126.71","141.95","63.55","352,923","44,719,181.70","4,303"
"30-Jun-2021","EQ","129.70","130.90","126.00","129.70","127.80","128.20","129.07","141.95","63.55","133,692","17,255,409.55","2,110"
"29-Jun-2021","EQ","129.75","131.40","129.20","129.75","129.65","129.70","129.90","141.95","63.55","204,729","26,593,887.95","4,204"
"28-Jun-2021","EQ","132.00","132.00","128.50","129.85","129.65","129.75","129.74","141.95","63.55","341,451","44,300,329.25","4,336"
"25-Jun-2021","EQ","129.90","132.90","129.00","129.90","130.00","129.85","131.04","141.95","63.55","413,959","54,247,126.35","6,541"
"24-Jun-2021","EQ","131.85","131.85","128.20","129.85","130.75","129.90","130.07","141.95","63.55","756,579","98,404,451.50","6,635"
"23-Jun-2021","EQ","134.30","136.35","128.90","132.90","130.00","129.85","133.61","141.95","63.55","676,004","90,319,280.65","8,781"
"22-Jun-2021","EQ","130.05","134.75","129.65","130.05","133.50","132.90","132.74","141.95","63.55","490,073","65,051,269.70","7,363"
"21-Jun-2021","EQ","125.25","132.50","125.10","128.30","130.60","130.05","129.45","141.95","63.55","600,484","77,734,225.45","9,204"
"18-Jun-2021","EQ","135.30","135.30","126.00","134.25","128.20","128.30","128.33","141.95","58.50","891,709","114,431,620.15","10,303"
"17-Jun-2021","EQ","134.30","135.70","132.10","135.55","134.60","134.25","133.85","141.95","58.50","953,686","127,649,067.20","10,402"
"16-Jun-2021","EQ","135.90","138.25","132.50","134.80","135.65","135.55","135.99","141.95","58.50","1,196,264","162,678,479.15","9,963"
"15-Jun-2021","EQ","138.40","138.40","134.00","137.05","135.00","134.80","135.33","141.95","58.50","615,976","83,359,943.95","7,368"
"14-Jun-2021","EQ","137.55","140.55","136.45","136.40","136.80","137.05","138.20","141.95","58.50","985,559","136,201,385.50","7,276"
"11-Jun-2021","EQ","138.90","139.95","135.80","137.65","137.15","136.40","137.76","141.95","58.50","344,348","47,437,293.60","4,482"
"10-Jun-2021","EQ","134.70","139.30","134.70","133.40","137.75","137.65","137.77","141.95","58.50","650,004","89,550,059.25","6,769"
"09-Jun-2021","EQ","137.70","138.00","132.00","135.55","133.00","133.40","135.44","141.95","58.50","703,226","95,245,589.40","8,266"
"08-Jun-2021","EQ","135.40","141.95","134.05","135.40","135.85","135.55","138.88","141.95","58.50","3,470,058","481,926,068.15","23,736"
"07-Jun-2021","EQ","133.85","137.20","132.25","133.00","137.00","135.40","134.96","139.00","58.50","1,412,543","190,634,943.50","14,853"
"04-Jun-2021","EQ","134.50","136.45","132.00","135.95","133.95","133.00","133.84","139.00","58.25","1,078,865","144,399,737.00","15,070"
"03-Jun-2021","EQ","126.60","139.00","125.55","127.70","133.75","135.95","132.65","139.00","58.25","3,900,217","517,378,103.90","32,337"
"02-Jun-2021","EQ","123.70","129.80","123.40","125.70","128.25","127.70","127.75","129.80","58.25","1,836,419","234,595,865.65","17,686"
"01-Jun-2021","EQ","127.00","127.65","119.05","125.60","125.50","125.70","123.57","129.55","58.25","2,658,875","328,548,211.25","28,082"
