"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"04-Aug-2023","EQ","421.90","422.30","407.80","419.75","410.00","410.40","413.69","446.40","317.25","173,003","71,570,151.20","13,735"
"03-Aug-2023","EQ","419.50","427.00","417.15","424.20","420.00","419.75","422.89","446.40","317.25","96,390","40,762,253.65","5,966"
"02-Aug-2023","EQ","421.05","426.00","417.25","420.45","424.00","424.20","420.12","446.40","317.25","217,910","91,548,887.55","9,019"
"01-Aug-2023","EQ","421.40","424.95","417.80","419.35","421.00","420.45","421.39","446.40","317.25","58,172","24,513,166.45","4,346"
"31-Jul-2023","EQ","419.40","429.00","414.80","417.45","418.35","419.35","421.60","446.40","317.25","118,871","50,116,542.75","8,746"
"28-Jul-2023","EQ","416.90","423.95","414.25","416.45","418.00","417.45","418.90","446.40","317.25","93,200","39,041,647.35","9,838"
"27-Jul-2023","EQ","415.75","419.85","410.05","413.90","418.00","416.45","415.50","446.40","317.25","100,999","41,965,487.05","6,729"
"26-Jul-2023","EQ","426.20","430.50","412.00","424.55","414.90","413.90","419.98","446.40","317.25","169,149","71,038,436.50","11,060"
"25-Jul-2023","EQ","440.95","446.40","421.65","436.15","424.00","424.55","436.30","446.40","317.25","466,823","203,677,205.25","23,191"
"24-Jul-2023","EQ","429.70","439.50","426.00","428.70","439.40","436.15","434.36","440.00","317.25","300,753","130,635,100.25","13,619"
"21-Jul-2023","EQ","428.05","434.55","425.50","429.20","428.00","428.70","430.48","440.00","317.25","121,119","52,139,252.80","11,443"
"20-Jul-2023","EQ","430.75","435.60","426.10","429.05","428.30","429.20","429.44","440.00","317.25","98,772","42,416,201.45","10,158"
"19-Jul-2023","EQ","425.95","433.65","425.85","423.95","428.15","429.05","429.43","440.00","317.25","129,233","55,496,649.30","6,619"
"18-Jul-2023","EQ","430.80","436.20","421.20","428.80","426.00","423.95","428.65","440.00","317.25","176,403","75,614,651.25","10,255"
"17-Jul-2023","EQ","430.35","435.00","424.50","427.80","430.90","428.80","430.75","440.00","317.25","116,932","50,367,904.35","8,582"
"14-Jul-2023","EQ","425.50","435.05","425.50","423.55","427.80","427.80","430.25","440.00","317.25","121,878","52,438,054.80","8,187"
"13-Jul-2023","EQ","434.00","436.25","421.10","432.35","429.90","423.55","430.06","440.00","317.25","129,026","55,489,348.30","9,024"
"12-Jul-2023","EQ","436.80","438.80","428.35","434.55","433.75","432.35","432.64","440.00","317.25","178,876","77,388,670.70","14,728"
"11-Jul-2023","EQ","427.50","440.00","427.10","425.10","434.75","434.55","434.04","440.00","317.25","259,012","112,420,659.00","12,261"
"10-Jul-2023","EQ","430.05","432.30","422.15","429.15","426.00","425.10","427.29","440.00","317.25","99,936","42,701,445.80","6,177"
"07-Jul-2023","EQ","437.00","437.55","424.70","436.95","428.70","429.15","431.87","440.00","317.25","402,697","173,913,450.55","15,782"
"06-Jul-2023","EQ","416.40","440.00","413.85","415.20","437.50","436.95","431.25","440.00","317.25","670,763","289,267,953.10","21,328"
"05-Jul-2023","EQ","407.25","421.60","407.20","410.40","416.00","415.20","417.29","426.40","317.25","172,755","72,088,244.15","10,400"
"04-Jul-2023","EQ","420.85","426.40","406.00","419.25","410.00","410.40","417.45","426.40","317.25","280,716","117,184,282.35","15,212"
"03-Jul-2023","EQ","413.45","422.80","412.35","408.45","419.30","419.25","418.23","422.80","317.25","492,831","206,117,502.80","18,205"
"30-Jun-2023","EQ","393.65","413.00","392.10","391.65","408.00","408.45","407.47","414.90","316.10","469,126","191,156,784.50","17,860"
"28-Jun-2023","EQ","398.60","400.10","390.40","396.25","391.60","391.65","395.87","414.90","316.10","84,313","33,376,993.65","6,531"
"27-Jun-2023","EQ","396.50","398.80","393.00","394.15","396.20","396.25","396.68","414.90","316.10","83,849","33,261,405.40","5,162"
"26-Jun-2023","EQ","384.50","395.35","384.25","385.80","393.35","394.15","391.44","414.90","316.10","99,617","38,993,594.65","5,743"
"23-Jun-2023","EQ","392.60","392.60","381.75","389.95","385.50","385.80","385.73","414.90","304.05","96,813","37,343,300.50","4,731"
"22-Jun-2023","EQ","395.40","402.20","389.00","395.40","390.50","389.95","396.02","414.90","304.05","165,777","65,650,356.85","9,321"
"21-Jun-2023","EQ","395.05","400.60","392.85","394.50","394.50","395.40","397.03","414.90","304.05","395,555","157,047,523.30","7,250"
"20-Jun-2023","EQ","387.80","405.00","383.80","387.15","394.15","394.50","390.97","414.90","304.05","775,560","303,223,878.50","9,909"
"19-Jun-2023","EQ","397.85","398.05","385.00","395.55","385.00","387.15","390.45","414.90","304.05","124,240","48,509,292.45","7,572"
"16-Jun-2023","EQ","391.50","400.20","389.20","389.15","395.25","395.55","396.45","414.90","299.00","303,131","120,175,619.90","10,831"
"15-Jun-2023","EQ","390.00","390.95","385.55","388.70","388.65","389.15","388.27","414.90","299.00","61,696","23,954,973.50","4,597"
"14-Jun-2023","EQ","393.00","394.70","384.30","391.10","389.20","388.70","389.31","414.90","299.00","94,043","36,611,842.85","5,936"
"13-Jun-2023","EQ","385.70","394.30","385.70","383.20","391.50","391.10","390.98","414.90","299.00","155,703","60,876,817.95","7,385"
"12-Jun-2023","EQ","377.70","385.00","375.35","375.80","383.10","383.20","381.53","414.90","299.00","89,394","34,106,627.30","4,999"
"09-Jun-2023","EQ","388.20","388.85","373.00","386.40","374.20","375.80","379.21","414.90","299.00","179,138","67,930,932.70","8,677"
"08-Jun-2023","EQ","398.00","400.70","385.00","397.15","386.00","386.40","391.32","414.90","299.00","130,213","50,954,999.85","6,436"
"07-Jun-2023","EQ","386.40","398.70","385.80","384.10","396.20","397.15","394.83","414.90","299.00","233,444","92,169,843.45","9,885"
"06-Jun-2023","EQ","384.00","387.45","381.10","382.90","384.00","384.10","385.17","414.90","299.00","67,222","25,892,042.30","4,185"
"05-Jun-2023","EQ","387.75","389.70","381.10","386.45","383.00","382.90","384.38","414.90","299.00","103,969","39,963,394.05","6,296"
"02-Jun-2023","EQ","389.00","390.80","384.10","387.25","386.80","386.45","386.92","414.90","299.00","117,484","45,457,142.40","6,786"
"01-Jun-2023","EQ","377.50","389.00","377.45","377.85","388.10","387.25","383.49","414.90","299.00","187,844","72,036,732.85","9,848"
"31-May-2023","EQ","391.00","391.50","374.80","390.45","377.80","377.85","382.48","414.90","299.00","157,303","60,165,105.45","8,016"
"30-May-2023","EQ","384.50","396.00","384.00","384.50","391.00","390.45","391.36","414.90","299.00","195,025","76,325,365.20","11,497"
"29-May-2023","EQ","400.00","407.00","376.10","396.10","390.45","384.50","389.70","414.90","299.00","594,094","231,515,948.75","20,821"
"26-May-2023","EQ","402.50","406.35","392.70","400.30","394.50","396.10","401.23","414.90","299.00","116,957","46,926,887.95","5,504"
"25-May-2023","EQ","398.10","407.00","398.10","399.70","403.00","400.30","403.36","414.90","299.00","145,861","58,834,872.40","6,235"
"24-May-2023","EQ","411.90","414.90","397.55","407.80","400.00","399.70","404.44","414.90","299.00","427,433","172,868,913.25","13,898"
"23-May-2023","EQ","397.55","412.00","395.75","397.75","409.95","407.80","406.98","412.00","299.00","570,735","232,275,609.20","16,712"
"22-May-2023","EQ","396.70","403.40","390.65","395.85","398.95","397.75","398.62","409.30","299.00","135,445","53,991,142.10","6,932"
"19-May-2023","EQ","395.45","398.95","391.05","395.85","395.00","395.85","395.48","409.30","299.00","84,413","33,383,678.25","5,736"
"18-May-2023","EQ","405.90","405.90","393.25","402.55","394.20","395.85","398.79","409.30","299.00","124,094","49,487,879.05","8,648"
"17-May-2023","EQ","395.95","403.55","391.25","395.95","401.95","402.55","396.96","409.30","299.00","132,676","52,666,842.80","9,507"
